Terminate,All
Minister of Defence,Office of the Chief of Defence Staff
Minister of Defence,Sri Lanka Army
Minister of Defence,Sri Lanka Navy
Minister of Defence,Sri lanka air force
Minister of Defence,State intelligence Service
Minister of Defence,Civil Security Departments
Minister of Defence,Department of Multipurpose Development Task force
Minister of Defence,National Cadet Corps
Minister of Defence,National Authority for the Implementation of Chemical Weapons Convention
Minister of Defence,Sir John Kotelawala Defence University
Minister of Defence,Defence Services Command and Staff College
Minister of Defence,Miloda institute - as a faculty of Kotelawala Defence university
Minister of Defence,Defence Services School
Minister of Defence,Defence Research and Development Centre
Minister of Defence,Institute of National Security Studies
Minister of Defence,National Defence College
Minister of Defence,rakna arakshana lanka ltd
Minister of Defence,Coast Guard Department of  Sri lanka
Minister of Defence,National Dangerous Drugs Control Board
Minister of Defence,National Defence fund
Minister of Defence,Ranaviru Seva Authority
Minister of Defence,Api Wenuwen Api Fund
Minister of Defence,Department of Meteorology
Minister of Defence,National Disaster Management Council
Minister of Defence,Disaster Management Centre
Minister of Defence,National Disaster Relief Services Centre
Minister of Defence,National Building research Organization
Minister of Defence,Telecommunication regulatory Commission of Sri lanka and allied institutions
"Minister of finance, Economic Stabilization and National Policies",National Planning Department
"Minister of finance, Economic Stabilization and National Policies",Department of Project Management and Monitoring
"Minister of finance, Economic Stabilization and National Policies",Department of External Resources
"Minister of finance, Economic Stabilization and National Policies",State Resources Management Corporation
"Minister of finance, Economic Stabilization and National Policies",General Treasury
"Minister of finance, Economic Stabilization and National Policies",Department of Fiscal Policy
"Minister of finance, Economic Stabilization and National Policies",Department of National Budget
"Minister of finance, Economic Stabilization and National Policies",Department of Management Services
"Minister of finance, Economic Stabilization and National Policies",Department of Public Finance
"Minister of finance, Economic Stabilization and National Policies",Department of Treasury Operations
"Minister of finance, Economic Stabilization and National Policies",Department of State Accounts
"Minister of finance, Economic Stabilization and National Policies",Department of Trade and Investment Policies
"Minister of finance, Economic Stabilization and National Policies",Department of Information Technology Management
"Minister of finance, Economic Stabilization and National Policies",Department of Legal Affairs
"Minister of finance, Economic Stabilization and National Policies",Department of Management Audit
"Minister of finance, Economic Stabilization and National Policies",Department of Development Finance
"Minister of finance, Economic Stabilization and National Policies",Department of Public Enterprises
"Minister of finance, Economic Stabilization and National Policies",Office of Comptroller General
"Minister of finance, Economic Stabilization and National Policies",Department of Inland Revenue
"Minister of finance, Economic Stabilization and National Policies",Sri Lanka Customs
"Minister of finance, Economic Stabilization and National Policies",Department of Excise
"Minister of finance, Economic Stabilization and National Policies",National Lotteries Board
"Minister of finance, Economic Stabilization and National Policies",Development Lotteries Board
"Minister of finance, Economic Stabilization and National Policies",Department of Valuation
"Minister of finance, Economic Stabilization and National Policies",Import and Export Control Department
"Minister of finance, Economic Stabilization and National Policies",Sri Lanka Export Development Board
"Minister of finance, Economic Stabilization and National Policies",Central Bank of Sri Lanka
"Minister of finance, Economic Stabilization and National Policies","All State Banks, Financial Institutions, Insurance Companies and their subsidiaries and related institutions"
"Minister of finance, Economic Stabilization and National Policies",Insurance Regulatory Commission of Sri Lanka
"Minister of finance, Economic Stabilization and National Policies",Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies
"Minister of finance, Economic Stabilization and National Policies",Credit Information Bureau
"Minister of finance, Economic Stabilization and National Policies",Department of the registrar of Companies
"Minister of finance, Economic Stabilization and National Policies",Securities and Exchange Commission of Sri Lanka
"Minister of finance, Economic Stabilization and National Policies",Sri Lanka Accounting and Auditing Standard Monitoring Board
"Minister of finance, Economic Stabilization and National Policies",Public utilities Commission of Sri lanka
"Minister of finance, Economic Stabilization and National Policies",Sri Lanka Export Credit Insurance Corporation
"Minister of finance, Economic Stabilization and National Policies",Housing Development finance Corporation
"Minister of finance, Economic Stabilization and National Policies",State Mortgage and Investment Bank
"Minister of finance, Economic Stabilization and National Policies",regional Development Bank
"Minister of finance, Economic Stabilization and National Policies",Tax Appeals Commission
"Minister of finance, Economic Stabilization and National Policies",Department of Census and Statistics
"Minister of finance, Economic Stabilization and National Policies",institute of Policy Studies
"Minister of finance, Economic Stabilization and National Policies",Sustainable Development Council
"Minister of finance, Economic Stabilization and National Policies",Welfare Benefits Board
"Minister of finance, Economic Stabilization and National Policies",Public Service Mutual Provident Fund
"Minister of finance, Economic Stabilization and National Policies","Strike, Riot, Civil Commotion and Terrorism Fund"
"Minister of finance, Economic Stabilization and National Policies",National Insurance Trust Fund
"Minister of finance, Economic Stabilization and National Policies",Employees' Trust fund
"Minister of finance, Economic Stabilization and National Policies",Lady Lochore Fund
"Minister of finance, Economic Stabilization and National Policies",Board of investment of Sri lanka
"Minister of finance, Economic Stabilization and National Policies",Colombo Port City Economic Commission
"Minister of finance, Economic Stabilization and National Policies",Department of Telecommunications
"Minister of finance, Economic Stabilization and National Policies",Wildlife Trust
"Minister of finance, Economic Stabilization and National Policies",Sri lanka Media Training institute
"Minister of finance, Economic Stabilization and National Policies",Department of internal Trade
"Minister of finance, Economic Stabilization and National Policies","Pulse Crops, Grain research and Production authority"
"Minister of finance, Economic Stabilization and National Policies",Janatha Fertilizer Enterprises Ltd.
"Minister of finance, Economic Stabilization and National Policies",Protection of Children - National Trust Fund
"Minister of finance, Economic Stabilization and National Policies",Institutions coming under the Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act vested to the Secretary to the Treasury
Minister of Technology,Department of registration of Persons
Minister of Technology,Information and Communication Technology Agency and Allied Institutions
Minister of Technology,Sri lanka Computer Emergency readiness Team
Minister of Technology,Sri lanka Telecom and its Subsidiaries and allied institutions
Minister of Technology,industrial Technology institute
Minister of Technology,Sri lanka Standards institute
"Minister of Women, Child Affairs and Social Empowerment",National Committee on Women
"Minister of Women, Child Affairs and Social Empowerment",Sri Lanka Women's Bureau
"Minister of Women, Child Affairs and Social Empowerment",Department of Probation and Childcare Services
"Minister of Women, Child Affairs and Social Empowerment",National Child Protection Authority
"Minister of Women, Child Affairs and Social Empowerment",National Secretariat for Early Childhood Development
"Minister of Women, Child Affairs and Social Empowerment",Department of Samurdhi Development
"Minister of Women, Child Affairs and Social Empowerment",Saubhagya Development Bureau
"Minister of Women, Child Affairs and Social Empowerment",National institute  of Social Development
"Minister of Women, Child Affairs and Social Empowerment",Rural Development Training and Research Institute
"Minister of Women, Child Affairs and Social Empowerment",Social Security Board
"Minister of Women, Child Affairs and Social Empowerment",National Council for Persons with Disabilities
"Minister of Women, Child Affairs and Social Empowerment",National Secretariat for Persons with Disabilities
"Minister of Women, Child Affairs and Social Empowerment",Department of Social Services
"Minister of Women, Child Affairs and Social Empowerment",National Council for Elders and National Secretariat for Elders
"Minister of Women, Child Affairs and Social Empowerment",Kidney fund
"Minister of Ports, Shipping and Aviation",Sri Lanka Ports Authority and its Subsidiaries and Associates
"Minister of Ports, Shipping and Aviation",Ceylon Shipping Corporation Ltd.
"Minister of Ports, Shipping and Aviation",Merchant Shipping Secretariat
"Minister of Ports, Shipping and Aviation",Civil Aviation Authority of Sri Lanka
"Minister of Ports, Shipping and Aviation",Airport and Aviation Services (Sri Lanka) Ltd.
"Minister of Ports, Shipping and Aviation",Sri Lankan Air Lines Limited and its subsidiaries
Minister of Investment Promotion,Department of immigration and Emigration
Minister of Investment Promotion,Colombo lotus Tower Management Company (Pvt.) limited
Minister of Investment Promotion,Techno Park Development Company (Pvt.) limited
Minister of Investment Promotion,Information Technology Parks
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",Department of Pensions
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",Sri lanka institute of Development administration
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",Distance Learning Centre Ltd.
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",Department of Official languages
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",Official Languages Commission
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",National Human Resources Development Council of Sri Lanka
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",National Institute of Language Education and Training
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",Public Service Pensioners' Trust Fund
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",local Government Service Pension fund
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",local Government Widows' and Orphans' Pension fund
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",local Government Widowers' and Orphans' Pension fund
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",All District Secretariats and Divisional Secretariats
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",Department of Registrar General
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",Sri Lanka Institute of Local Government
"Minister of Public Administration, home Affairs, Provincial Councils and Local Government",Local Loans and Development Fund
Minister of fisheries,Department of fisheries and aquatic resources
Minister of fisheries,National Aquatic Resources Research and Development Agency
Minister of fisheries,North Sea Ltd.
Minister of fisheries,National aquaculture Development authority
Minister of fisheries,Ceylon Fisheries Corporation
Minister of fisheries,Ceylon Fishery Harbours Corporation
Minister of fisheries,Cey-Nor foundation ltd
Minister of Education,Department of Examinations
Minister of Education,Department of Educational Publications
Minister of Education,National library and Documentation Services Board
Minister of Education,National Colleges of Education
Minister of Education,Teachers' College
Minister of Education,UNESCO National Commission of Sri Lanka
Minister of Education,Sri Lanka Publication Development Bureau
Minister of Education,State Printing Corporation
Minister of Education,Directorates of Education
Minister of Education,National Education Commission
Minister of Education,National Institute of Education
Minister of Education,Piriven Education Board
Minister of Education,National Institute of Business Management and affiliated institutions
Minister of Education,University of Vocational Technology
Minister of Education,National Institute of Fisheries and Nautical Engineering (Ocean University)
Minister of Education,Vocational Training Authority of Sri Lanka
Minister of Education,National apprenticeship and industrial Training authority
Minister of Education,Ceylon German Technical Training institute
Minister of Education,Department of Technical Education and Training
Minister of Education,National institute of fundamental Studies
Minister of Education,Sri Lanka Inventors' Commission
Minister of Education,National Engineering Research and Development Centre
Minister of Education,National Research Council
Minister of Education,Tertiary and Vocational Education Commission
Minister of Education,National Science foundation
Minister of Education,Planetarium of Sri Lanka
Minister of Education,Arthur C.Clarke Institute for Modern Technologies
Minister of Education,National Innovation Agency
Minister of Education,Skills Development Fund Ltd.
Minister of Education,Sri Lanka Inventors Fund
Minister of Education,National Science  and Technology Commission
Minister of Education,Sri Lanka Institute of Nanotechnology (Pvt.) Ltd.
Minister of Education,Sri lanka institute of Biotechnology (Pvt.) ltd
Minister of Education,Vidatha Centres
Minister of Education,university Grants Commission
Minister of Education,"All State Universities, Postgraduate Institutions and other Institutions under the purview of University Grants Commission"
Minister of Education,Buddhasravaka Bhikku university
Minister of Education,Buddhist and Pali university of Sri lanka
Minister of Education,Sri lanka institute of advanced Technological Education
Minister of Transport and highways,Road Development Authority and its Subsidiaries and Associates
Minister of Transport and highways,Sahasya investment ltd.
Minister of Transport and highways,Maga Neguma
Minister of Transport and highways,State Development and Construction Corporation
Minister of Transport and highways,National Transport Commission
Minister of Transport and highways,National Council on Road Safety
Minister of Transport and highways,Department of Sri Lanka Railways
Minister of Transport and highways,lakdiva Engineering ltd
Minister of Transport and highways,Sri lanka Transport Board
Minister of Transport and highways,National Transport Medical Institute
Minister of Transport and highways,Department of Motor Traffic
Minister of mass media,Right to Information Commission
Minister of mass media,Department of Government Printing
Minister of mass media,Department of Government Information
Minister of mass media,Sri Lanka Press Council
Minister of mass media,Sri lanka Broadcasting Corporation
Minister of mass media,Independent Television Network
Minister of mass media,Sri lanka rupavahini Corporation
Minister of mass media,Associated Newspapers of Ceylon Ltd.
Minister of mass media,Lanka Puwath Ltd.
Minister of mass media,Selacine Rupavahini Institute
Minister of mass media,Sri Lanka Foundation
Minister of mass media,Postal Department
Minister of mass media,Sri Lanka Institute of Printing
Minister of mass media,Public Performance Board
Minister of mass media,National Film Corporation
Minister of health,National Health Council
Minister of health,Medical Research Institute
Minister of health,National Institute of Health Sciences
Minister of health,Sri lanka Medical Council
Minister of health,Sri Lanka Medical College Council
Minister of health,Private Health Services regulatory Council
Minister of health,Department of Health Services
Minister of health,"All National, Teaching and Specific Government Hospitals"
Minister of health,School of Medical laboratory Technology
Minister of health,"National institute of Nephrology, Dialysis and Transplantation"
Minister of health,Sri Lanka Th‍riposha Co. Ltd
Minister of health,Sri jayewardenepura General Hospital
Minister of health,Vijaya Kumaratunga Memorial Hospital
Minister of health,ashraff Memorial Hospital
Minister of health,National authority on Tobacco and  alcohol
Minister of health,Suwaseriya Foundation
Minister of health,National Health Development Fund
Minister of health,State Pharmaceutical Corporation
Minister of health,State Pharmaceutical Manufacturing Corporation
Minister of health,National Medicines regulatory authority
Minister of health,Department of ayurveda
Minister of health,Sri Lanka Ayurvedic Drugs Corporation
Minister of health,ayurvedic Medical Council
Minister of health,Ayurvedic College and Hospital Board
Minister of health,Ayurveda Teaching and Research Hospitals
Minister of health,"Homeopathy Hospital, Welisara"
Minister of health,Homeopathy Medical Council
Minister of Water Supply,National Water Supply and Drainage Board
Minister of Water Supply,Water Resources Board
Minister of Water Supply,Department of National Community Water Supply
Minister of Agriculture,Department of Agriculture
Minister of Agriculture,Department of Agrarian Development
Minister of Agriculture,Agriculture and Agrarian Insurance Board
Minister of Agriculture,Paddy Marketing Board
Minister of Agriculture,Hector Kobbekaduwa Agrarian Research and Training Institute
Minister of Agriculture,Sri Lanka Council for Agricultural  Research Policy
Minister of Agriculture,National Agricultural Diversification and Settlement Authority
Minister of Agriculture,Lanka Posphate Limited
Minister of Agriculture,National Fertilizer Secretariat
Minister of Agriculture,Ceylon Fertilizer Company Ltd
Minister of Agriculture,Colombo Commercial Fertilizer Company
Minister of Agriculture,National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board)
Minister of Agriculture,Institute of Post-Harvest Technology
Minister of Agriculture,Department of Animal Productionand Health
Minister of Agriculture,National Livestock Development Board and affiliated companies
Minister of Agriculture,Milco (Pvt) Ltd.
Minister of Agriculture,Mahaweli Livestock Enterprise Limited
Minister of Wildlife and Forest Resources Conservation,Department of Forest Conservation
Minister of Wildlife and Forest Resources Conservation,Department of Wildlife Conservation
Minister of Wildlife and Forest Resources Conservation,Department of National Zoological Gardens
Minister of Wildlife and Forest Resources Conservation,State Timber Corporation
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Attorney General's Department
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Legal Draftsman's Department
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Department of Debt Conciliation Board
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Department of Government Analyst
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Office of the Registrar of the Supreme Court
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Law Commission of Sri Lanka
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Superior Courts Complex Board of Management
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Legal Aid Commission of Sri Lanka
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Mediation Boards Commission
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Council of Legal Education
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Commercial Mediation Centre of Sri Lanka
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Sri Lanka International Arbitration Centre (Guarantee) Limited
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Office for National Unity and Reconciliation
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Office of Missing Persons
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Office for Reparations
"Minister of Justice, Prisons Affairs and Constitutional Reforms",National Authority for the Protection of Victims of Crime and Witnesses
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Department of Prisons
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Community Based Correction Department
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Training Schools for Youthful Offenders
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Rehabilitation Commissioner General's Office
Minister of Tourism and Lands,Sri Lanka Tourism Promotion Bureau
Minister of Tourism and Lands,Sri Lanka Tourism Development Authority
Minister of Tourism and Lands,Sri Lanka Institute of Tourism and Hotel Management
Minister of Tourism and Lands,Sri Lanka Convention Bureau
Minister of Tourism and Lands,Department of National Botanic Gardens
Minister of Tourism and Lands,Department of Land Commissioner General
Minister of Tourism and Lands,Department of Land Use Policy Planning
Minister of Tourism and Lands,Department of Land Settlement
Minister of Tourism and Lands,Land Reform Commission
Minister of Tourism and Lands,Sri Lanka Survey Department
Minister of Tourism and Lands,Institute of Surveying and Mapping
Minister of Tourism and Lands,Land Survey Council
Minister of Tourism and Lands,Land Acquisition Board of Review
Minister of Plantation Industries,National Institute of Plantation Management
Minister of Plantation Industries,Sri Lanka Tea Board
Minister of Plantation Industries,Tea Small Holdings Development Authority
